"ranking","username","name","profile_image","ENS","twitter_id","followers","verified","address","last_updated"
12,"Symply_Tacha","TACHA.ETH🔱🇳🇬🇬🇭","https://pbs.twimg.com/profile_images/1574183991749611523/R-LXQ-cP_normal.jpg","tacha.eth","917606473341067264",1428678,true,"0xff66f0000ad5b6d1d90a779a75bfb63c9be453ee","10/08/2022"
13,"ANATII","ANATII.eth","https://pbs.twimg.com/profile_images/1569026883144089605/de0Myquv_normal.jpg","anatii.eth","22055884",1158511,true,"0xb874262cb68acdf9057631e37070033f4e8cd667","10/08/2022"
14,"mrpigmx","mrpigmx.eth","https://pbs.twimg.com/profile_images/1526427425646821376/7eEiVAnV_normal.jpg","mrpigmx.eth","111496257",1100322,false,"0x7ade9dcc8a4b05b10754490fc4f9cdc504891b18","10/08/2022"
15,"BunBTrillOG","BunB.eth","https://pbs.twimg.com/profile_images/1542129570668855297/VGfm5-7S_normal.jpg","bunb.eth","18610936",1076535,true,"0x1c90e4026a97a7c98db554b69f8a4e3593246397","10/08/2022"
16,"TheGaryo","garyo.eth","https://pbs.twimg.com/profile_images/1474323255276322838/loP3QgaF_normal.jpg","garyo.eth","473285651",1065639,false,"0x5d71f467d61dc3680f1bbcacc0dff11877c22147","10/08/2022"
17,"AnthonyHopkins","AHopkins.eth","https://pbs.twimg.com/profile_images/783065517061910528/gI1141rL_normal.jpg","ahopkins.eth","782973815496192000",1023491,true,"0x5b4b7f43140e79a4452408ce10dd64fd17d8a2e5","10/08/2022"
18,"galaubijak","im-AFC.eth","https://pbs.twimg.com/profile_images/1550010977088950274/TZFYOChK_normal.jpg","im-afc.eth","241334535",1022707,false,"0x1c4c879e1688bd14efcd87f964e5b8ea1eb35c71","10/08/2022"
19,"anitahasnandani","anitahassanandani.eth","https://pbs.twimg.com/profile_images/1126342237296545792/FV6MlEXp_normal.jpg","anitahassanandani.eth","114826297",988959,true,"0x0d9dcf124d4b380dc3406aa54e4e6d25aaf04f4a","10/08/2022"
20,"cdixon","cdixon.eth","https://pbs.twimg.com/profile_images/1433529810681155587/ACs86CsF_normal.png","cdixon.eth","2529971",880131,true,"0xe11bfcbdd43745d4aa6f4f18e24ad24f4623af04","10/08/2022"
21,"GamebredFighter","BMF.eth","https://pbs.twimg.com/profile_images/1506723882362941442/OGFeGPQV_normal.jpg","bmf.eth","242960383",851037,true,"0x3cb5288f1ef944684c36399fb6f4513d8f230fbe","10/08/2022"
22,"PiaWurtzbach","Pia Wurtzbach | yourhighness.eth","https://pbs.twimg.com/profile_images/1528646655301627905/BNmjbsDm_normal.jpg","yourhighness.eth","21560677",836437,true,"0x8cf3c13b5ccbfc29e7950d271179ff1d0af9850f","10/08/2022"
23,"KRLS","krls.eth / Carles Puigdemont","https://pbs.twimg.com/profile_images/1572962875362140161/DT-StcDi_normal.jpg","krls.eth","11611502",800569,true,"0x011020177de8c830d18542e033eaa6bc42ee942b","10/08/2022"
24,"XNicoleAnistonX","XNicoleAnistonX.eth","https://pbs.twimg.com/profile_images/1564305784246116353/BCL2Mr4y_normal.jpg","xnicoleanistonx.eth","245056117",798518,true,"0xcca768585e1fa2871ddfb789ffa95c6288162fc7","10/08/2022"
25,"filipinoflash","Nonito Donaire - filipinoflash.eth","https://pbs.twimg.com/profile_images/1402065015910240281/r6wvC1wr_normal.jpg","filipinoflash.eth","32684900",795757,true,"0xeab85437c687e5f2b6a285715c12fa7d9d3a106d","10/08/2022"
26,"PokeVisionGo","yangcliu.eth","https://pbs.twimg.com/profile_images/755887796351475714/c1MiaoV5_normal.jpg","yangcliu.eth","754930749720055808",779633,true,"0x3d91866f3fadc1b1a82105854eb90a4a474a4b7e","10/08/2022"
27,"BrennenTaylor","BrennenTaylor.eth","https://pbs.twimg.com/profile_images/1450616045069168641/VmTVA7Lh_normal.jpg","brennentaylor.eth","396866544",717621,true,"0xcf0b8cb46ae4ac26a5b99b6972546b314c3955cc","10/08/2022"
